,primary_v2_gp70_v1v2_zollapazner,toggle_v2_cyclic_peptide_42aa,secondary_gt_igg_244_gdneg,secondary_gt_igg_HxB2new8bcore_diff,secondary_gt_igg_YU2gp120oldcore_diff,IgG_C1086C_V1_V2Tags,IgG_gp70V1V2A,IgG_gp70V1V2C,IgG_gp70V1V2CaseA2,IgG_gp70_BCaseA2V1V2169K,IgG3_CC_C1086C_V1_V2Tags,IgG3_CC_gp70V1V2C,IgG3_CC_gp70V1V2CaseA2,IgG3_CC_gp70_BCaseA2V1V2169K
R3A_1_HIV_p7,0.0010858439,0.0010076523,0.00076758914,0.0003357536,0.00015100528,0.00037312444,0.0004170494,0.0007277122,0.0006620093,0.00047697045,0.00038707088,0.00038275452,0.00019554282,0.0001684953
R3A_1_Barouch_Prime,0.0004256651,0.0023139978,0.0020649582,-0.00079796626,-9.055837e-05,0.0011921324,0.00057423225,0.00071470137,0.00044883956,0.00024438289,0.0005340198,-0.0011146044,-0.0015670442,-0.0015829038
R3A_1_Gag,0.0024283335,0.0021102093,0.0013066756,-0.0003654802,-9.9329714e-05,0.0012837228,0.0009806349,0.0014351712,0.0015047811,0.0014923589,0.0027429175,0.0026325237,0.0028587244,0.0028688505
R3A_1_gp120_BAL,0.00581074,0.0014541049,0.0014951861,0.0022476835,0.0003633945,0.0013903879,0.0013026221,0.0035860618,0.0037916363,0.003027495,0.003559492,0.004160967,0.0042894282,0.004087319
R3A_1_gp120_YU2,-0.0015781934,-0.00194843,0.00023872589,0.00072675635,0.0012138123,-0.000579214,-0.0010447378,-0.00047793682,-0.00062369014,-0.0010470006,-0.0011304393,-0.00089855184,-0.0015279237,-0.0017451928
R3A_1_RSC3_gp120,0.0019618499,0.0014832289,0.0007928422,0.0015887476,0.0015638776,0.0002854507,0.00014528044,0.0009920365,0.0009412744,0.0006296401,0.0007594004,0.0016419198,0.002265909,0.0026211734
R3A_1_1086_gp120,0.0035026865,0.00215206,0.002648539,0.0026703589,0.0017539277,0.0032477123,0.002929337,0.0036363686,0.0038634732,0.0037910587,0.0023983505,0.002531491,0.0025081977,0.003074795
R3A_1_gp140_BR29,0.004154566,0.0041829497,0.0046121194,0.004709588,0.004636967,0.0030235676,0.0033311984,0.0031284096,0.0036545906,0.0035321303,0.00013466712,-0.00015319111,-0.0004726122,0.0010292471
R3A_1_gp41_HxBc2,-0.0015676406,0.0019230472,0.002322641,-0.00026542787,0.0009903737,0.0016096788,0.0009788135,6.4776985e-05,-0.00015069345,-0.0001440117,-0.0005567563,-0.0032275477,-0.004068134,-0.0033445966
R3A_1_p24_HxBc2,0.0015853557,0.0014371006,0.0017654472,0.0006477081,0.0011030863,0.0011096721,0.0011073622,0.0012950134,0.0012358556,0.0011634935,0.0014804659,0.0011191567,0.0007652195,0.00079714385
R3A_1_Boost,0.0013840196,-0.0005103431,0.0008965625,0.000894126,-0.00010416499,0.001182636,0.00047210444,0.0008867872,0.0016480725,0.0015627244,0.0017468273,0.0010412638,0.00064110983,0.0015335144
R3A_1_p17_Clade_C,0.0003953514,0.0024833519,0.0024558452,0.00011954977,0.001465857,0.0017032893,0.0009381691,0.0009559151,0.0006860766,0.00069639925,0.0007586648,-5.0992287e-05,-0.00089966704,-0.00073429866
R3A_1_gp120_CM235,-0.00090314564,-0.0006950215,-9.2651914e-07,-1.3724807e-06,0.00028072225,-0.00018616888,-0.00071988103,-0.0005924769,-0.0004526161,-0.00057260063,-0.00074776815,-0.0013379551,-0.0014559086,-0.0011086711
R3A_1_gp120_Du151,0.0012883114,0.001073566,0.0021823596,0.0001634679,0.00052912853,0.0014779313,0.00086568977,0.001664225,0.0015388564,0.0012399282,0.0018864307,0.0012689624,0.00059773354,0.00038504586
R3A_1_gp120_96ZM651,0.00334039,-0.0005852976,-0.00023473144,0.00027714015,0.0006597549,-0.0013775851,-0.0006706604,0.0011002115,0.0008857856,-1.0611008e-05,0.001294337,0.0027127312,0.0028731686,0.0021822979
R3A_1_gp70_V1V2_Clade_AE,-6.001446e-05,0.0026909057,0.0017338576,-0.0018735498,-0.00071989937,0.0008740632,0.0006822749,6.5929074e-05,-0.00021423977,-0.0001291099,0.0018491535,0.00077889796,0.00044026814,9.378423e-05
R3A_1_NL4_3_integrase,0.0003853156,0.0017296381,0.0013677627,2.0931655e-05,0.00011524059,0.00053518766,0.00033838727,0.0004006496,9.254195e-05,-8.269926e-05,-0.0007152008,-0.0022110573,-0.0027098758,-0.0024499607
R3A_1_gp120_JRCSF,0.0019814686,-8.96161e-05,-0.00012798363,-0.00021116681,-0.00092863146,-9.570203e-05,3.625207e-05,0.00027351172,0.0008015976,0.0006604348,0.0016272746,0.0012293779,0.000720328,0.0010326965
R3A_1_gp120_TRO,-2.339229e-05,0.0015708278,0.0015087604,-0.001874409,-0.0012419194,0.0016354936,0.0011973714,0.00032787723,0.00059472007,0.000883215,0.0026339004,0.0007987515,-7.112922e-05,0.00017193661
R3A_3_gp120_ZM109F,0.0037676678,0.0013009423,0.001239297,0.001907341,0.0016900522,0.0010440424,0.0012077263,0.0025299676,0.0024967955,0.0019808682,0.0032889678,0.003940685,0.0046596634,0.0038883013
R3A_3_Barouch_Boost,-0.005086334,-0.0015486005,-0.0013861986,-0.0053918697,-0.0030774553,-0.0008637397,-0.0010920779,-0.0020932555,-0.0032332158,-0.0028523975,0.0007794606,-0.0010541198,-0.0012798719,-0.0027801744
R3A_3_gp120_CN54,-0.0054162745,0.0014731464,0.002101868,-0.0013658924,0.0012667625,0.0016244628,0.0005885122,-0.0015894528,-0.0022136034,-0.0014872873,-0.0029041849,-0.0056534656,-0.0065573743,-0.005445201
R3A_3_HIV_p7,0.0034679405,0.0013706421,0.0015838945,0.0028505342,0.002775432,0.0013498566,0.002305111,0.002537238,0.0025129737,0.0022865303,0.002563908,0.002992216,0.0031643496,0.002662551
R3A_3_Barouch_Prime,-0.0033848411,0.00018499148,-0.0012341763,-0.004639228,-0.004194633,0.00036180604,-0.00041003033,-0.0013053893,-0.002227314,-0.001536514,0.0019194243,-0.0011420221,-0.0006577679,-0.001202975
R3A_3_Gag,0.00535945,0.0022859469,0.004156322,0.006050636,0.004871267,0.0033371516,0.0035889626,0.0039114836,0.0048974464,0.004514349,0.0013057704,0.0010020692,0.0005050145,0.00205194
R3A_3_gp120_BAL,-0.009602102,-0.0065016625,-0.0042321915,-0.00034328253,0.00015962699,-0.003581255,-0.0037174458,-0.005536567,-0.0064736158,-0.0056955675,-0.0061155665,-0.006926839,-0.005810582,-0.0064946865
R3A_3_gp120_YU2,0.00026080292,0.001987389,0.000474208,-0.0020321263,-0.0010167952,0.0007728769,0.00065383536,0.0004420477,-7.445299e-05,0.000108728345,0.003055173,0.0019112106,0.002279227,0.00127309
R3A_3_RSC3_gp120,0.0026155266,0.0022786304,0.001376245,0.00080964697,0.001195232,0.0017021234,0.0022401079,0.0021618505,0.0021014563,0.002056115,0.002079062,0.0018436614,0.0018131365,0.002117336
R3A_3_1086_gp120,0.0025011091,0.00065228663,-0.0002603912,0.00092875626,0.00036092073,-0.00019751092,0.0006544878,0.0010186207,0.0008338432,0.0007683901,0.0014919727,0.002286744,0.0029837945,0.0025422224
R3A_3_gp140_BR29,0.0016055555,0.0023082837,0.002458128,0.0018045693,0.0021770366,0.0015701063,0.0017699259,0.0015287735,0.0015912764,0.0016204322,0.00026429648,0.00031576635,-0.0002536378,0.00049180427
R3A_3_gp41_HxBc2,-0.001553548,0.0022447908,0.0026231066,0.0008798542,0.0021794073,0.001392907,0.0008629088,3.8304166e-05,-0.00027608295,-0.00013318981,-0.0010360294,-0.0024850667,-0.0029781607,-0.0022038901
