"","pvalue","tvalue","logp"
"z130",0,54.625812177115,Inf
"z131",0,66.1072867551969,Inf
"z132",1.97603567684339e-12,-7.03848728618225,26.9499284616832
"z133",0,50.1001857498192,Inf
"z134",8.79061765849586e-76,-18.4703967038236,172.822782090003
"z135",0,-53.0999902838354,Inf
"z136",2.96439387504748e-323,-38.8934879690914,742.648312452153
"z137",0,238.154267666209,Inf
"z138",0,95.0788135915344,Inf
"z139",0,-178.922694712637,Inf
"z140",0,-105.342370450438,Inf
"z141",0,-62.3613364434025,Inf
"z142",0.0346824713744826,-2.11198694168142,3.36152086736885
"z143",0,-97.8064291809616,Inf
"z144",0,-194.85736569538,Inf
"z145",0,43.7550066824085,Inf
"z146",1.95650622774273e-108,-22.2065853984118,248.00802969759
"z147",0,-46.5079554412169,Inf
"z148",3.08424685957388e-193,29.8598213141415,443.272615450096
"z149",0,45.4207211054259,Inf
"z150",0,-276.658885048671,Inf
"z151",1.84183571974755e-87,19.8850120399282,199.714140342431
"z152",0,-95.5770539876536,Inf
"z153",1.82789714637379e-149,26.177573682698,342.482012650324
"z154",5.65296523186243e-181,28.8731880717921,415.035721604635
"z155",0,-295.404247206826,Inf
"z156",0.00233536018184215,3.04392640884184,6.05958914629153
"z157",0.00265882294654569,3.00467949492093,5.92987175541973
"z158",7.95228535049775e-06,4.4668888672327,11.7420512051369
"z159",0,42.7149803841273,Inf
"z160",3.12789025730487e-264,-35.0599915162752,606.742105812342
"z161",0,68.0850064779419,Inf
"z162",0,-549.550542372836,Inf
"z163",6.85709856432008e-229,-32.5683429773409,525.366701893175
"z164",4.84902543340327e-192,-29.7649158283876,440.517560111665
"z165",7.70247145048464e-160,-27.0933277243384,366.372073634091
"z166",5.86157744466495e-252,34.213813438517,578.483024678626
"z167",0,-40.8843050913736,Inf
"z168",0,-115.993107671841,Inf
"z169",6.68474750949199e-25,10.3131143552972,55.66479888472
"z170",0,145.210452826614,Inf
"z171",0,57.2414789211304,Inf
"z172",0,-206.456564997284,Inf
"z173",0,65.9041121958888,Inf
"z174",0,64.6325106332673,Inf
"z175",0.97376644882895,0.0328827130567275,0.0265837896893249
"z176",0,72.9850322638486,Inf
"z177",0,-54.8704356490274,Inf
"z178",1.08705770746107e-81,19.1986477816636,186.425917837047
"z179",0,197.753444219865,Inf
"z180",0,209.805612996247,Inf
"z181",2.04059791738924e-65,17.1200420847411,148.954788182942
"z182",0,-58.0884403968995,Inf
"z183",0,149.131172182878,Inf
"z184",1.17367772926051e-166,-27.6793053954186,382.068983259882
"z185",1.85850469492582e-144,25.7245118005637,330.9524811542
"z186",0,-113.33455201426,Inf
"z187",0,39.2625140508488,Inf
"z188",1.7897521182447e-42,13.6781873895973,96.1264967769142
"z189",0,-49.2613611968715,Inf
"z190",3.36371502337069e-80,19.0174629547049,182.993761414625
"z191",4.12010997055539e-37,12.7438439426436,83.7797685858921
"z192",7.1851914049894e-92,-20.39425774038,209.865806396751
"z193",8.06743272216506e-81,19.0930397639533,184.421557226974
"z194",3.20565259546207e-09,-5.92197839854804,19.5583501493722
"z195",8.51755124094665e-46,14.2270195316975,103.77678539123
"z196",1.37778814744101e-160,27.1581630141464,368.093135457432
"z197",0,93.8664593906712,Inf
"z198",2.85401460994179e-36,-12.5912387077158,81.8443367096335
"z199",7.02924308744431e-120,-23.379433514784,274.360132128186
"z200",0,333.977056837831,Inf
"z201",0.00536812894834227,2.78406543613062,5.22727585792797
"z202",5.1349512964915e-246,33.7970509538486,564.799862517817
"z203",3.42889037790684e-82,-19.2591865411541,187.579740921656
"z204",0,149.835920083402,Inf
"z205",0,-201.279350744154,Inf
"z206",9.26882961698845e-318,-38.5503155302733,729.995402455409
"z207",0,-160.500652613527,Inf
"z208",9.60762557132745e-166,-27.6015066505733,379.966568323505
"z209",0,41.8389384326413,Inf
"z210",6.70568518734908e-115,22.8762497374479,262.894329992296
"z211",0,-45.4837168351555,Inf
"z212",0,-183.678828584657,Inf
"z213",0,-98.7386605178155,Inf
"z214",0,45.2819743989865,Inf
"z215",0,57.5939435924375,Inf
"z216",1.68937366508263e-247,-33.9014886638558,568.214160121665
"z217",0,-41.9318080089244,Inf
"z218",3.79591065469722e-210,-31.1719720431533,482.208945184976
"z219",7.03896231868313e-17,-8.35046939898073,37.1924858195073
"z220",0,70.9570620580993,Inf
"z221",0,-104.678559495799,Inf
"z222",3.39348506286153e-104,-21.7566976908035,238.24699223592
"z223",7.88975260681029e-27,10.732699683192,60.1042327317569
"z224",5.61453152494297e-08,-5.43159034904911,16.6953225920222
"z225",1.0278932720794e-72,18.0809710484536,165.758615354863
"z226",1.13421082327337e-57,-16.0390636156305,131.121413201459
"z227",0,206.300900767216,Inf
"z228",0,-68.5355263779412,Inf
