Fold,lrt_counts,latent_var,lrt_importance
fold 8,484,z143,Important
fold 9,495,z143,Important
fold 0,494,z144,Important
fold 1,485,z144,Important
fold 2,492,z144,Important
fold 3,489,z144,Important
fold 4,477,z144,Important
fold 5,485,z144,Important
fold 6,488,z144,Important
fold 7,480,z144,Important
fold 8,484,z144,Important
fold 9,495,z144,Important
fold 0,494,z145,Important
fold 1,485,z145,Important
fold 2,492,z145,Important
fold 3,489,z145,Important
fold 4,477,z145,Important
fold 5,485,z145,Important
fold 6,488,z145,Important
fold 7,480,z145,Important
fold 8,484,z145,Important
fold 9,495,z145,Important
fold 0,494,z146,Important
fold 1,485,z146,Important
fold 2,492,z146,Important
fold 3,489,z146,Important
fold 4,477,z146,Important
fold 5,485,z146,Important
fold 6,488,z146,Important
fold 7,480,z146,Important
fold 8,484,z146,Important
fold 9,495,z146,Important
fold 0,494,z147,Important
fold 1,485,z147,Important
fold 2,492,z147,Important
fold 3,489,z147,Important
fold 4,477,z147,Important
fold 5,485,z147,Important
fold 6,488,z147,Important
fold 7,480,z147,Important
fold 8,484,z147,Important
fold 9,495,z147,Important
fold 0,494,z148,Important
fold 1,485,z148,Important
fold 2,492,z148,Important
fold 3,489,z148,Important
fold 4,477,z148,Important
fold 6,488,z148,Important
fold 7,480,z148,Important
fold 8,484,z148,Important
fold 9,495,z148,Important
fold 0,494,z149,Important
fold 1,485,z149,Important
fold 2,492,z149,Important
fold 3,489,z149,Important
fold 4,477,z149,Important
fold 5,485,z149,Important
fold 6,488,z149,Important
fold 7,480,z149,Important
fold 8,484,z149,Important
fold 9,495,z149,Important
fold 0,494,z15,Important
fold 1,485,z15,Important
fold 2,492,z15,Important
fold 3,489,z15,Important
fold 4,477,z15,Important
fold 5,485,z15,Important
fold 6,488,z15,Important
fold 7,480,z15,Important
fold 8,484,z15,Important
fold 9,495,z15,Important
fold 0,494,z150,Important
fold 1,485,z150,Important
fold 2,492,z150,Important
fold 3,489,z150,Important
fold 4,477,z150,Important
fold 5,485,z150,Important
fold 6,488,z150,Important
fold 7,480,z150,Important
fold 8,484,z150,Important
fold 9,495,z150,Important
fold 0,494,z151,Important
fold 1,485,z151,Important
fold 2,492,z151,Important
fold 3,489,z151,Important
fold 4,477,z151,Important
fold 5,485,z151,Important
fold 6,488,z151,Important
fold 7,480,z151,Important
fold 8,484,z151,Important
fold 0,494,z152,Important
fold 1,485,z152,Important
fold 2,492,z152,Important
fold 3,489,z152,Important
fold 4,477,z152,Important
fold 5,485,z152,Important
fold 6,488,z152,Important
fold 7,480,z152,Important
fold 8,484,z152,Important
fold 9,495,z152,Important
fold 0,494,z153,Important
fold 1,485,z153,Important
fold 2,492,z153,Important
fold 3,489,z153,Important
fold 5,485,z153,Important
fold 6,488,z153,Important
fold 7,480,z153,Important
fold 8,484,z153,Important
fold 9,495,z153,Important
fold 0,494,z154,Important
fold 1,485,z154,Important
fold 2,492,z154,Important
fold 3,489,z154,Important
fold 4,477,z154,Important
fold 5,485,z154,Important
fold 6,488,z154,Important
fold 7,480,z154,Important
fold 8,484,z154,Important
fold 9,495,z154,Important
fold 0,494,z155,Important
fold 1,485,z155,Important
fold 2,492,z155,Important
fold 3,489,z155,Important
fold 4,477,z155,Important
fold 5,485,z155,Important
fold 6,488,z155,Important
fold 7,480,z155,Important
fold 8,484,z155,Important
fold 9,495,z155,Important
fold 1,485,z156,Important
fold 2,492,z156,Important
fold 3,489,z156,Important
fold 4,477,z156,Important
fold 5,485,z156,Important
fold 6,488,z156,Important
fold 7,480,z156,Important
fold 9,495,z156,Important
fold 0,494,z157,Important
fold 1,485,z157,Important
fold 2,492,z157,Important
fold 4,477,z157,Important
fold 5,485,z157,Important
fold 6,488,z157,Important
fold 7,480,z157,Important
fold 9,495,z157,Important
fold 0,494,z158,Important
fold 1,485,z158,Important
fold 2,492,z158,Important
fold 3,489,z158,Important
fold 5,485,z158,Important
fold 6,488,z158,Important
fold 7,480,z158,Important
fold 8,484,z158,Important
fold 9,495,z158,Important
fold 0,494,z159,Important
fold 1,485,z159,Important
fold 3,489,z159,Important
fold 4,477,z159,Important
fold 5,485,z159,Important
fold 6,488,z159,Important
fold 8,484,z159,Important
fold 9,495,z159,Important
fold 0,494,z16,Important
fold 1,485,z16,Important
fold 2,492,z16,Important
fold 3,489,z16,Important
fold 4,477,z16,Important
fold 5,485,z16,Important
fold 6,488,z16,Important
fold 7,480,z16,Important
fold 8,484,z16,Important
fold 9,495,z16,Important
fold 0,494,z160,Important
fold 1,485,z160,Important
fold 2,492,z160,Important
fold 3,489,z160,Important
fold 4,477,z160,Important
fold 5,485,z160,Important
fold 7,480,z160,Important
fold 8,484,z160,Important
fold 9,495,z160,Important
fold 0,494,z161,Important
fold 1,485,z161,Important
fold 2,492,z161,Important
fold 3,489,z161,Important
fold 4,477,z161,Important
fold 5,485,z161,Important
fold 6,488,z161,Important
fold 7,480,z161,Important
fold 8,484,z161,Important
fold 9,495,z161,Important
fold 0,494,z162,Important
fold 1,485,z162,Important
fold 2,492,z162,Important
fold 3,489,z162,Important
fold 4,477,z162,Important
fold 5,485,z162,Important
fold 6,488,z162,Important
fold 7,480,z162,Important
fold 8,484,z162,Important
fold 9,495,z162,Important
fold 0,494,z163,Important
fold 1,485,z163,Important
fold 2,492,z163,Important
fold 3,489,z163,Important
fold 4,477,z163,Important
fold 5,485,z163,Important
fold 7,480,z163,Important
fold 8,484,z163,Important
