"","SKBR3","NCIH1975","HT29","MCF7","NCIH508","A549","HA1E","NCIH2073","PC3","NCIH596","U2OS","HEPG2","A375","HCC515","VCAP"
"ARNT2",0.124328135002202,1.32768736417605,0.0426443374084937,2.01792190799726,0.16349873228288,2.58736499093646,1.92599941855622,1.0071955014042,0.189033824390017,0.286881147788161,2.88752527074159,1.02856915219677,4.3327079336406,1.75274859140713,2.68929916053589
"FAM20B",4.17472598770613,3.6915341649192,3.92789645372882,4.3547342399706,2.69821847822441,4.21723071622067,4.69766263347052,3.61235249875266,3.26303440583379,4.78607355157855,4.69877410890368,3.76871365703049,4.86195536414487,4.30669970727279,3.88362081628567
"NCAPD2",5.59604063267114,6.4446008137115,6.14751022492028,5.16591193893569,4.51601514700366,6.33806779754262,6.6724253419715,4.93073733756289,5.29130885982897,5.56559717585422,7.72533217137268,5.89820835250872,7.05734195767948,6.00674683244058,6.12907690293063
"PAN2",4.70210340662939,5.4036085835437,5.37399614213124,5.46825746832314,5.36946648365072,3.50462039240355,4.49185309632967,4.20711196120771,2.68257329734758,4.35191096110308,5.53169336086147,3.86195536414487,4.79649392942584,4.87184364850932,3.98641093525204
"LPGAT1",3.86492897228979,4.03738222200308,2.66220549965362,3.51096191927738,2.84599177066457,4.91169158187234,4.21645486514476,3.25398926623079,2.78240856492737,5.7771566660045,3.67694435910691,3.78135971352466,4.30669970727279,6.21723071622067,2.98732086592925
"KIF14",2.55336050333533,3.50207595604579,2.53605290024021,3.09085343045111,1.31034012061215,4.0232553523003,3.83289001416474,2.33628338786443,3.60407132366886,3.46597446450407,4.12598165385472,2.02502879449152,4.12598165385472,3.72465027173297,3.09929520433778
"OXSR1",5.92813340782985,4.87921563716567,4.01613970265525,4.30742852519225,4.13422093976063,4.37155886261196,5.71232064074163,3.4276061727819,4.48413813120167,4.06781078378962,4.93687346182423,4.08406426478847,4.98185265328974,4.22496636500027,4.7235585614721
"MVP",5.21916852046216,7.18428029441938,5.89360490485829,3.93357263826102,6.93404464711225,5.55704241526372,6.5090623863619,6.9217219470096,4.14649230697719,7.53036731844997,5.96208624985064,4.03210084316702,4.84348142543246,4.93168305705981,0.432959407276106
"DMTF1",5.13545278418517,5.72328550477764,5.38543103719352,5.38612115681485,5.47994190147713,5.14974711950468,5.33664044640873,5.36317107711924,4.65535182861255,5.13463167144765,5.76553474636298,3.98823022306046,5.37260391520448,5.95046841415012,5.00090140274153
"GNPDA1",5.20359271420771,6.23112515787905,5.04308198189566,4.53915881110803,5.31759350462347,4.98777561614291,5.66845955691538,4.50716034911752,4.49697358099828,5.92908083524258,4.67807190511264,4.77663042305105,5.9297909977186,4.61823865559545,4.68873986801449
"HDAC6",3.60762622084549,4.86393845042397,5.07895134139482,4.45154083301783,4.76500424625004,4.28540221886225,5.3077927961299,4.35755200461808,4.40531168259745,5.38024459047818,5.88728155166999,4.9481335778404,4.00898878322726,5.03386345186628,3.32481060342048
"PARP2",5.12804589092299,5.73498052343589,4.50207595604579,5.40531168259745,3.26303440583379,5.16631374788993,6.15704371014558,4.6667565918848,5.10517519226548,5.77346892790519,6.55166981487147,5.14934066928622,5.1168637576909,5.62935662007961,5.05398016818765
"MAMLD1",0.01435529297707,2.0071955014042,0.250961573533219,1.55090066464752,0.0426443374084937,1.44360665147561,2.08065766334523,2.03913839390696,1.51096191927738,1.4276061727819,2.56071495447448,0.01435529297707,1.55581615506164,1.92219784839637,0.214124805352847
"DNAJB6",6.37573453858316,7.32382039058095,6.47069954142369,6.93581330620453,6.11540785541406,6.70556327456632,7.25077213159993,6.27388882366849,7.18120196126484,6.66405611271822,6.37625564931336,5.80967167790706,7.76963952140205,5.96116025813664,6.27965700653368
"SMC4",6.67708535055984,6.85686122831977,5.93805049953404,5.89481776330794,5.18229502502548,6.49697358099828,7.09708401565117,6.0759604132434,6.10370744048039,6.39985467357243,6.55566279922404,4.66618848987278,6.51412226017071,6.20515788392009,7.07146236255662
"ABCC5",6.52763338729093,4.54596836910529,3.06004738366994,5.16952419715,5.22303633790187,3.24640808724638,3.74308405554959,4.13750352374993,3.96439863220318,5.25738784269265,4.24716800037477,3.09592441999854,4.06350294230616,3.83794324189103,4.62819033461521
"ABCB6",5.34340782229781,4.15461561132689,4.5216789516032,5.17112674665207,4.35895882583233,5.10055722078293,4.45746296464855,4.04351949366274,3.71699089440494,5.35966172233388,1.89530262133331,5.85399564717639,4.49761236561836,1.76128527336162,5.6573541815237
"DNM1L",5.1906148602095,5.18665901720211,5.14036967065153,4.72137265947682,4.6409679104499,6.13504228623365,5.46303385531749,5.22612314312524,4.16108148227718,4.68425770505893,5.66362925881475,4.66049513188851,6.17931198921002,5.2349610948395,5.71259578044703
"TSPAN3",5.94556088599388,7.07831095000713,8.38741424199678,6.11290859962941,7.88270417921253,7.91157175172643,7.63836350589786,7.05669189982489,6.39917109381982,7.07114053594841,6.61897273948698,7.10108273531935,6.81082866218542,6.90713102474679,7.62461270900574
"KIF20A",4.834407841807,6.0923343111862,4.48607074373567,5.19140472885276,2.92409988564074,5.17911290067856,6.50589092972996,5.04788732939655,5.39128655811118,6.0524593691181,6.29351763041742,4.57591736111815,6.25209770303744,4.33556900555675,6.67708535055984
